ip;port;type;ssl;country;latency(msec);uptime(per cent);checked(UTC)
197.251.147.179;8080;Transparent;false;"Ghana";2284;80;"Nov 25 05:01:22"
187.6.86.4;8080;Transparent;false;"Brazil";1001;99;"Nov 25 05:01:05"
189.82.81.5;8080;Transparent;false;"Brazil";2606;80;"Nov 25 05:01:05"
189.127.155.13;8080;Transparent;false;"Brazil";1240;80;"Nov 25 05:01:04"
189.80.168.162;8080;Transparent;false;"Brazil";6814;91;"Nov 25 05:01:00"
187.53.208.3;8080;Transparent;false;"Brazil";2722;65;"Nov 25 05:00:56"
189.105.68.185;8080;Transparent;false;"Brazil";4597;80;"Nov 25 05:00:44"
189.105.41.160;8080;Transparent;false;"Brazil";3508;80;"Nov 25 05:00:39"
190.206.219.102;8080;Transparent;false;"Venezuela";820;80;"Nov 25 05:00:37"
187.52.100.194;8080;Transparent;false;"Brazil";15089;94;"Nov 25 05:00:37"
190.205.195.105;8080;Distorting;false;"Venezuela";18558;36;"Nov 25 05:00:36"
189.105.16.215;8080;Transparent;false;"Brazil";942;80;"Nov 25 05:00:35"
189.104.27.153;8080;Transparent;false;"Brazil";2834;80;"Nov 25 05:00:34"
196.205.182.220;8080;Transparent;false;"Egypt";1996;80;"Nov 25 04:59:59"
189.41.82.236;8080;Transparent;false;"Brazil";1308;80;"Nov 25 04:59:49"
189.41.109.165;8080;Transparent;false;"Brazil";3304;80;"Nov 25 04:59:30"
189.29.118.245;8080;Transparent;false;"Brazil";6877;80;"Nov 25 04:59:07"
190.189.88.163;8080;Transparent;false;"Argentina";4334;80;"Nov 25 04:58:36"
187.107.196.28;8080;Transparent;false;"Brazil";1661;80;"Nov 25 04:58:31"
189.24.135.75;8080;Transparent;false;"Brazil";5468;80;"Nov 25 04:58:15"
189.22.138.168;8080;Transparent;false;"Brazil";5075;80;"Nov 25 04:58:10"
186.95.47.115;8080;Transparent;false;"Venezuela";4176;80;"Nov 25 04:58:09"
186.92.199.82;8080;Distorting;false;"Venezuela";28876;60;"Nov 25 04:58:05"
187.13.68.202;8080;Transparent;false;"Brazil";1632;80;"Nov 25 04:57:46"
189.15.59.110;8080;Transparent;false;"Brazil";1335;80;"Nov 25 04:57:45"
187.121.47.19;8080;Transparent;false;"Brazil";874;80;"Nov 25 04:57:45"
187.111.223.10;8080;Transparent;false;"Brazil";854;96;"Nov 25 04:57:43"
186.5.75.26;8080;Transparent;false;"Ecuador";6346;80;"Nov 25 04:57:36"
186.5.117.146;8080;Transparent;false;"Ecuador";1268;98;"Nov 25 04:57:27"
186.226.98.252;8080;Transparent;false;"Brazil";1631;60;"Nov 25 04:57:25"
186.218.242.123;8080;Transparent;false;"Brazil";8067;80;"Nov 25 04:57:22"
183.89.68.76;8080;Distorting;false;"Thailand";1588;80;"Nov 25 04:57:07"
183.63.204.131;8080;Transparent;false;"China";1491;86;"Nov 25 04:57:04"
180.243.227.229;8080;Transparent;false;"Indonesia";13957;93;"Nov 25 04:56:57"
180.243.184.72;8080;Transparent;false;"Indonesia";25155;80;"Nov 25 04:56:43"
180.242.41.51;8080;Transparent;false;"Indonesia";4299;93;"Nov 25 04:55:58"
180.241.27.92;8080;Transparent;false;"Indonesia";12517;60;"Nov 25 04:55:54"
177.70.68.155;8080;Transparent;false;"Brazil";1640;95;"Nov 25 04:55:52"
110.53.48.54;8080;Anonymous;false;"China";11921;68;"Nov 25 04:54:17"
149.62.176.182;8080;Transparent;false;"Spain";913;88;"Nov 25 04:52:54"
141.255.161.112;8080;Transparent;false;"Switzerland";353;83;"Nov 25 04:52:53"
125.209.94.102;8080;Transparent;false;"Pakistan";1469;80;"Nov 25 04:52:42"
125.163.237.77;8080;Transparent;false;"Indonesia";8666;40;"Nov 25 04:52:39"
124.207.170.230;8080;Distorting;false;"China";5965;95;"Nov 25 04:52:28"
124.158.154.197;8080;Transparent;false;"Indonesia";2079;84;"Nov 25 04:52:21"
123.235.12.118;8080;Transparent;false;"China";6579;97;"Nov 25 04:52:19"
123.231.250.6;8080;Transparent;false;"Indonesia";13190;55;"Nov 25 04:52:12"
118.97.100.75;8080;Transparent;false;"Indonesia";960;90;"Nov 25 04:50:34"
116.66.194.33;8080;Transparent;false;"Nepal";2795;45;"Nov 25 04:50:01"
103.7.248.22;8080;Transparent;false;"Bangladesh";7294;90;"Nov 25 04:47:29"
120.132.132.120;8080;Transparent;false;"China";1686;93;"Nov 25 04:47:14"
120.132.132.119;8080;Transparent;false;"China";3013;92;"Nov 25 04:47:11"
93.178.218.203;8080;Transparent;false;"Ukraine";15898;87;"Nov 25 04:46:53"
96.47.230.49;8080;Transparent;false;"United States";263;98;"Nov 25 04:45:27"
85.9.74.111;8080;Transparent;false;"Iran";5236;97;"Nov 25 04:44:48"
85.234.36.137;8080;Distorting;false;"Russian Federation";10655;75;"Nov 25 04:44:42"
84.41.108.74;8080;Transparent;false;"Slovenia";452;81;"Nov 25 04:44:12"
94.153.243.178;8080;Transparent;false;"Ukraine";702;90;"Nov 25 04:44:02"
91.102.162.249;8080;Anonymous;false;"Turkey";2938;68;"Nov 25 04:43:51"
81.199.181.52;8080;Transparent;false;"Great Britain (UK)";8156;63;"Nov 25 04:43:18"
78.134.254.131;8080;Transparent;false;"Croatia (Hrvatska)";3195;95;"Nov 25 04:42:55"
77.226.33.60;8080;Anonymous;false;"Spain";9070;12;"Nov 25 04:42:36"
81.201.61.138;8080;Transparent;false;"Czech Republic";2252;93;"Nov 25 04:42:00"
61.172.203.212;8080;Anonymous;false;"China";12426;33;"Nov 25 04:41:22"
58.243.150.4;8080;Anonymous;false;"China";12975;68;"Nov 25 04:41:18"
222.89.55.123;8080;Transparent;false;"China";1438;93;"Nov 25 04:41:14"
58.137.154.102;8080;Distorting;false;"Thailand";2413;92;"Nov 25 04:40:30"
67.216.65.253;8080;Distorting;false;"United States";351;98;"Nov 25 04:40:20"
222.39.34.5;8080;Anonymous;false;"China";1449;85;"Nov 25 04:40:16"
41.75.201.146;8080;Transparent;false;"Nigeria";3277;89;"Nov 25 04:38:19"
41.74.44.35;8080;Transparent;false;"Chad";7314;89;"Nov 25 04:38:15"
5.9.238.26;8080;Transparent;false;"Germany";566;82;"Nov 25 04:38:01"
5.8.242.12;8080;Transparent;false;"Iraq";1102;94;"Nov 25 04:38:00"
46.16.226.83;8080;Transparent;false;"Russian Federation";10704;89;"Nov 25 04:37:25"
219.242.50.50;8080;Transparent;false;"China";1548;95;"Nov 25 04:35:59"
219.234.82.86;8080;Distorting;false;"China";8101;95;"Nov 25 04:35:45"
219.234.82.82;8080;Distorting;false;"China";1512;94;"Nov 25 04:31:15"
212.84.56.243;8080;Transparent;false;"France";27875;50;"Nov 25 04:30:37"
212.75.136.248;8080;Transparent;false;"Russian Federation";3700;75;"Nov 25 04:30:08"
217.168.73.176;8080;Transparent;false;"Russian Federation";597;91;"Nov 25 04:29:01"
201.251.5.248;8080;Transparent;false;"Argentina";14085;75;"Nov 25 04:27:39"
211.142.236.137;8080;Transparent;false;"China";1085;99;"Nov 25 04:27:10"
211.142.236.133;8080;Transparent;false;"China";682;99;"Nov 25 04:27:07"
203.77.249.26;8080;Transparent;false;"Indonesia";1323;86;"Nov 25 04:26:44"
200.87.213.94;8080;Transparent;false;"Bolivia";1382;87;"Nov 25 04:26:00"
200.44.220.36;8080;Transparent;false;"Venezuela";14773;91;"Nov 25 04:25:42"
210.57.214.98;8080;Transparent;false;"Indonesia";10232;89;"Nov 25 04:25:36"
202.198.96.211;8080;Distorting;false;"China";1341;84;"Nov 25 04:24:59"
202.164.211.74;8080;Transparent;false;"Bangladesh";6854;84;"Nov 25 04:24:53"
202.155.202.198;8080;Transparent;false;"Hong Kong";1669;84;"Nov 25 04:24:46"
201.62.63.65;8080;Distorting;false;"Brazil";1271;25;"Nov 25 04:24:18"
198.100.155.68;8080;Transparent;false;"Canada";374;96;"Nov 25 04:23:25"
186.94.88.95;8080;Transparent;false;"Venezuela";1906;95;"Nov 25 04:23:08"
199.119.76.111;8080;Transparent;false;"United States";340;97;"Nov 25 04:23:05"
186.89.105.37;8080;Transparent;false;"Venezuela";1681;90;"Nov 25 04:22:57"
198.154.114.100;8080;Transparent;false;"United States";239;98;"Nov 25 04:22:41"
190.199.113.111;8080;Distorting;false;"Venezuela";15262;58;"Nov 25 04:22:33"
186.221.70.14;8080;Transparent;false;"Brazil";11989;98;"Nov 25 04:21:14"
190.101.117.160;8080;Transparent;false;"Chile";12312;89;"Nov 25 04:21:00"
186.153.166.188;8080;Transparent;false;"Argentina";1322;87;"Nov 25 04:20:42"
182.16.156.137;8080;Transparent;false;"Bangladesh";21187;97;"Nov 25 04:19:52"
190.246.141.111;8080;Transparent;false;"Argentina";18376;64;"Nov 25 04:19:40"
189.11.198.36;8080;Transparent;false;"Brazil";1177;92;"Nov 25 04:19:26"
180.247.103.63;8080;Transparent;false;"Indonesia";3260;58;"Nov 25 04:18:55"
177.65.196.115;8080;Transparent;false;"Brazil";6218;97;"Nov 25 04:18:47"
180.211.183.250;8080;Transparent;false;"Bangladesh";14963;66;"Nov 25 04:18:43"
178.248.43.156;8080;Transparent;false;"Iran";3182;97;"Nov 25 04:18:42"
177.47.34.16;8080;Transparent;false;"Brazil";7779;95;"Nov 25 04:18:41"
178.18.17.208;8080;Transparent;false;"Netherlands";566;83;"Nov 25 04:18:33"
180.151.50.104;8080;Transparent;false;"India";1099;66;"Nov 25 04:18:21"
177.100.19.151;8080;Transparent;false;"Brazil";10758;96;"Nov 25 04:17:50"
176.8.21.244;8080;Transparent;false;"Ukraine";630;97;"Nov 25 04:17:37"
180.137.45.86;8080;Transparent;false;"China";1219;96;"Nov 25 04:17:35"
178.33.181.120;8080;Transparent;false;"France";253;95;"Nov 25 04:16:55"
173.213.108.114;8080;Transparent;false;"United States";317;88;"Nov 25 04:16:50"
173.213.108.113;8080;Transparent;false;"United States";405;87;"Nov 25 04:16:49"
123.124.158.227;8080;Transparent;false;"China";1698;35;"Nov 25 04:15:39"
123.108.14.39;8080;Transparent;false;"Indonesia";9192;82;"Nov 25 04:15:37"
112.217.228.212;8080;Transparent;false;"Korea (South)";1075;98;"Nov 25 04:14:06"
110.93.211.11;8080;Transparent;false;"Pakistan";1295;57;"Nov 25 04:12:23"
118.244.172.19;8080;Transparent;false;"China";1776;74;"Nov 25 04:11:10"
122.225.22.22;8080;Transparent;false;"China";4764;96;"Nov 25 04:09:17"
110.138.240.218;8080;Transparent;false;"Indonesia";3547;74;"Nov 25 04:09:07"
110.136.166.10;8080;Transparent;false;"Indonesia";4816;50;"Nov 25 04:09:03"
109.104.248.84;8080;Transparent;false;"Italy";4785;50;"Nov 25 04:08:59"
118.174.131.94;8080;Transparent;false;"Thailand";13103;90;"Nov 25 04:08:51"
118.137.216.252;8080;Transparent;false;"Indonesia";6273;80;"Nov 25 04:08:26"
122.166.119.201;8080;Transparent;false;"India";21207;91;"Nov 25 04:07:10"
117.20.56.18;8080;Transparent;false;"Indonesia";3795;80;"Nov 25 04:06:26"
103.28.227.78;8080;Transparent;false;"Indonesia";8728;83;"Nov 25 04:06:26"
1.63.18.22;8080;Transparent;false;"China";2130;97;"Nov 25 04:05:11"
118.97.206.148;8080;Transparent;false;"Indonesia";1110;85;"Nov 25 04:05:09"
95.9.251.53;8080;Transparent;false;"Turkey";6741;84;"Nov 25 04:01:27"
61.177.252.38;8080;Anonymous;false;"China";1912;62;"Nov 25 04:01:19"
89.73.177.208;8080;Transparent;false;"Poland";2655;60;"Nov 25 03:59:27"
89.235.31.99;8080;Transparent;false;"Czech Republic";397;93;"Nov 25 03:59:09"
83.147.127.42;8080;Transparent;false;"Italy";1010;81;"Nov 25 03:57:45"
82.213.48.225;8080;Transparent;false;"Palestine";1729;95;"Nov 25 03:57:28"
41.73.2.35;8080;Transparent;false;"Nigeria";851;87;"Nov 25 03:54:41"
41.32.5.159;8080;Transparent;false;"Egypt";6402;97;"Nov 25 03:54:24"
46.188.16.163;8080;Distorting;false;"Russian Federation";595;97;"Nov 25 03:54:05"
61.235.97.206;8080;Anonymous;false;"China";8836;91;"Nov 25 03:53:13"
61.221.80.49;8080;Transparent;false;"Taiwan";1083;93;"Nov 25 03:53:01"
222.124.147.105;8080;Transparent;false;"Indonesia";973;85;"Nov 25 03:51:39"
37.57.17.251;8080;Transparent;false;"Ukraine";5233;93;"Nov 25 03:51:07"
221.210.40.150;8080;Transparent;false;"China";1946;92;"Nov 25 03:49:01"
220.248.215.98;8080;Anonymous;false;"China";1294;94;"Nov 25 03:47:45"
219.76.104.2;8080;Transparent;false;"Hong Kong";1128;83;"Nov 25 03:46:27"
222.74.98.234;8080;Transparent;false;"China";7502;98;"Nov 25 03:46:12"
219.234.82.78;8080;Distorting;false;"China";4188;91;"Nov 25 03:42:41"
218.249.83.87;8080;Distorting;false;"China";2050;89;"Nov 25 03:40:42"
218.22.71.122;8080;Transparent;false;"China";4293;64;"Nov 25 03:40:38"
218.10.102.69;8080;Anonymous;false;"China";31074;79;"Nov 25 03:40:20"
219.234.82.76;8080;Distorting;false;"China";2359;97;"Nov 25 03:40:09"
219.234.82.62;8080;Distorting;false;"China";1333;90;"Nov 25 03:39:19"
203.77.232.99;8080;Transparent;false;"Indonesia";1129;62;"Nov 25 03:38:58"
212.233.147.48;8080;Transparent;false;"Bulgaria";771;78;"Nov 25 03:38:27"
212.156.150.130;8080;Transparent;false;"Turkey";431;97;"Nov 25 03:38:26"
200.66.54.207;8080;Transparent;false;"Mexico";799;72;"Nov 25 03:37:21"
200.60.11.24;8080;Transparent;false;"Peru";1356;69;"Nov 25 03:37:20"
200.52.160.113;8080;Transparent;false;"Mexico";5822;63;"Nov 25 03:37:18"
203.152.216.75;8080;Distorting;false;"Japan";42938;74;"Nov 25 03:37:07"
200.45.236.51;8080;Transparent;false;"Argentina";4192;30;"Nov 25 03:36:27"
200.42.62.140;8080;Transparent;false;"Argentina";4298;59;"Nov 25 03:36:23"
202.79.29.38;8080;Transparent;false;"Cambodia";4495;77;"Nov 25 03:36:12"
202.77.108.58;8080;Transparent;false;"Indonesia";2755;89;"Nov 25 03:36:07"
198.27.123.4;8080;Anonymous;false;"Canada";6753;57;"Nov 25 03:35:51"
198.102.29.195;8080;Transparent;false;"United States";231;36;"Nov 25 03:35:40"
190.78.131.166;8080;Distorting;false;"Venezuela";15857;73;"Nov 25 03:34:19"
202.138.232.1;8080;Transparent;false;"Indonesia";1661;93;"Nov 25 03:34:18"
180.247.199.112;8080;Transparent;false;"Indonesia";1161;57;"Nov 25 03:32:33"
189.113.64.122;8080;Transparent;false;"Brazil";1117;94;"Nov 25 03:32:14"
190.42.147.120;8080;Transparent;false;"Peru";5049;63;"Nov 25 03:32:09"
180.241.232.136;8080;Transparent;false;"Indonesia";2712;50;"Nov 25 03:31:56"
190.40.80.144;8080;Transparent;false;"Peru";2075;90;"Nov 25 03:31:34"
190.38.162.216;8080;Transparent;false;"Venezuela";9805;76;"Nov 25 03:31:32"
190.37.141.210;8080;Transparent;false;"Venezuela";14627;82;"Nov 25 03:31:22"
190.248.129.62;8080;Transparent;false;"Colombia";9842;90;"Nov 25 03:30:52"
177.36.216.76;8080;Transparent;false;"Brazil";1046;98;"Nov 25 03:29:57"
177.194.134.173;8080;Transparent;false;"Brazil";1693;97;"Nov 25 03:29:34"
190.212.137.138;8080;Anonymous;false;"Nicaragua";12101;92;"Nov 25 03:29:29"
186.228.43.34;8080;Transparent;false;"Brazil";782;80;"Nov 25 03:29:25"
186.207.152.173;8080;Transparent;false;"Brazil";2849;87;"Nov 25 03:29:24"
177.125.167.253;8080;Transparent;false;"Brazil";1554;96;"Nov 25 03:29:20"
190.203.227.146;8080;Distorting;false;"Venezuela";3753;50;"Nov 25 03:29:12"
190.199.55.92;8080;Transparent;false;"Venezuela";11112;90;"Nov 25 03:29:08"
122.144.3.198;8080;Transparent;false;"Indonesia";1613;93;"Nov 25 03:27:43"
125.162.40.45;8080;Transparent;false;"Indonesia";32153;90;"Nov 25 03:26:21"
95.87.239.115;8080;Transparent;false;"Bulgaria";3533;87;"Nov 25 03:09:15"
95.82.73.36;8080;Transparent;false;"Iran";16955;86;"Nov 25 03:09:12"
91.102.162.246;8080;Anonymous;false;"Turkey";3820;59;"Nov 25 03:08:01"
89.28.120.189;8080;Transparent;false;"Moldova";461;86;"Nov 25 03:07:57"
89.237.134.10;8080;Distorting;false;"Saudi Arabia";4957;96;"Nov 25 03:07:57"
178.49.173.199;8080;Transparent;false;"Russian Federation";1614;87;"Nov 24 17:40:37"
118.139.178.227;8080;Distorting;false;"Singapore";11074;64;"Nov 24 17:35:56"
71.61.84.216;8080;Transparent;false;"United States";12263;79;"Nov 24 17:16:11"
89.144.131.106;8080;Transparent;false;"Iran";2190;85;"Nov 24 16:25:05"
219.83.100.205;8080;Transparent;false;"Indonesia";9297;88;"Nov 24 16:11:03"
218.22.71.126;8080;Transparent;false;"China";10265;67;"Nov 24 15:20:59"
110.77.149.146;8080;Transparent;false;"Thailand";4224;89;"Nov 24 15:01:14"
112.65.171.122;8080;Anonymous;false;"China";18225;37;"Nov 24 14:58:33"
180.153.163.116;8080;Distorting;false;"China";3448;98;"Nov 24 13:31:01"
221.7.25.173;8080;Anonymous;false;"China";18863;59;"Nov 24 13:13:09"
200.52.187.40;8080;Transparent;false;"Mexico";3529;66;"Nov 24 03:35:47"
89.45.128.1;8080;Transparent;false;"Romania";536;84;"Nov 24 03:12:14"
219.76.104.17;8080;Transparent;false;"Hong Kong";41765;89;"Nov 24 00:52:23"
186.89.183.139;8080;Transparent;false;"Venezuela";13804;75;"Nov 24 00:38:29"
180.241.238.147;8080;Transparent;false;"Indonesia";9350;86;"Nov 23 10:40:58"
190.94.3.90;8080;Transparent;false;"Dominican Republic";8640;76;"Nov 22 05:01:30"
218.61.18.178;8080;Socks4;true;"China";30;96;"Nov 16 22:27:25"
117.25.150.34;8080;Socks5;true;"China";30;100;"Nov 8 01:52:57"
